type,id,titleZh,titleEn,note
announcement,cmtmoli6f000jk9plo354cqh2,115學年度英資中心專職人力錄取名單：吳O潔 115學年度英資中心專職人力錄取名單：吳O潔,"2026 Academic Year EERC Full-Time Staff Recruitment Result: Wu, O-Jie",ANNOUNCEMENT
announcement,cmtmoli1u000hk9pl7rv1j69x,115年英資中心專職人力甄選簡章0731公告,2026 EERC Full-Time Staff Recruitment Announcement (Notice of July 31),ANNOUNCEMENT
announcement,cmtmolhxa000fk9plj82lxua0,115年英資中心專職人力甄選簡章0715公告,2026 EERC Full-Time Staff Recruitment Announcement (Notice of July 15),ANNOUNCEMENT
announcement,cmtmolhsq000dk9pll5rbhffi,115學年度英資中心專職人力錄取名單：張O勝、張O芳,"2026 Academic Year EERC Full-Time Staff Recruitment Result: Chang, O-Sheng & Chang, O-Fang",ANNOUNCEMENT
announcement,cmtmolho4000bk9plsf0b5v06,115年各校英語夏令營照片,2026 English Summer Camp Photos from Participating Schools,ANNOUNCEMENT
announcement,cmtmolhjj0009k9pl66f6gfu6,基隆市立碇內國民中學(英語教育資源中心) 115學年度專職人力甄選簡章公布,Keelung Municipal Dingnei Junior High School (English Education Resource Center) — 2026 Academic Year Full-Time Staff Recruitment Announcement,ANNOUNCEMENT
announcement,cmtmolhey0007k9plmdfbphqb,「115年英語融入彈性學習課程」優良教案徵選活動,2026 Award for Excellence in English-Integrated Flexible Learning Lesson Plans,ANNOUNCEMENT
announcement,cmtmolhac0005k9pl8j5cbc53,公告「基隆市115學年度自聘外籍英語教師招募」計畫，請查照並鼓勵具有資格外師踴躍報名參加。,Announcement: Keelung City 2026 Academic Year Self-Recruited Foreign English Teacher Program — Eligible Applicants Are Encouraged to Apply,ANNOUNCEMENT
announcement,cmtmolh5r0003k9pl5pnobbpb,114學年度第二學期外師訪視計畫,2025 Academic Year Semester 2 Foreign Teacher Visit Program,ANNOUNCEMENT
announcement,cmtmolgya0001k9pl06qac11f,114學年度第一學期外師訪視及ELTA訪視時程表,2025 Academic Year Semester 1 Foreign Teacher and ELTA Visit Schedule,ANNOUNCEMENT
document,cmtqilx1w009lphij9012goz1,"114學年度下學期外師巡迴五, 六, 七年級課表","2025 Academic Year Semester 2 Foreign Teacher Roaming Schedule — Grades 5, 6, 7",REGULATION/ADMINISTRATIVE
document,cmtqilwwz009jphijphvj663x,"114學年度下學期外師巡迴五, 六, 七年級課表","2025 Academic Year Semester 2 Foreign Teacher Roaming Schedule — Grades 5, 6, 7",REGULATION/ADMINISTRATIVE
document,cmtqilws2009hphijvdn71yfo,"114學年度下學期外師巡迴五, 六, 七年級課表","2025 Academic Year Semester 2 Foreign Teacher Roaming Schedule — Grades 5, 6, 7",REGULATION/ADMINISTRATIVE
document,cmtqilwi6009dphijfborvjr8,2026一獅盃比賽辦法及報名表,2026 Lions Cup Competition Rules and Registration Form,REGULATION/ADMINISTRATIVE
document,cmtqilwn3009fphijk6iw6c67,2026一獅盃比賽辦法及報名表,2026 Lions Cup Competition Rules and Registration Form,REGULATION/ADMINISTRATIVE
document,cmtqilw8a0099phij9f2s1fip,2026一獅盃國小朗讀組比賽題目,2026 Lions Cup Elementary Reading-Aloud Competition Topics,REGULATION/ADMINISTRATIVE
document,cmtqilwdb009bphijmhekg996,2026一獅盃國小朗讀組比賽題目,2026 Lions Cup Elementary Reading-Aloud Competition Topics,REGULATION/ADMINISTRATIVE
document,cmtqilw3g0097phijxn7o6vke,2026一獅盃國小朗讀組比賽題目,2026 Lions Cup Elementary Reading-Aloud Competition Topics,REGULATION/ADMINISTRATIVE
document,cmtqilvte0093phij7maqmzk2,114-1 1140922期初英語成效會議,2025 Semester 1 (2025/09/22) English Program Effectiveness Meeting,REPORT/ADMINISTRATIVE
document,cmtqilvye0095phijdlmiycgd,114-1 1140922期初英語成效會議,2025 Semester 1 (2025/09/22) English Program Effectiveness Meeting,REPORT/ADMINISTRATIVE
document,cmtqilvoe0091phijf9o6ddgg,114-1 1140922期初英語成效會議,2025 Semester 1 (2025/09/22) English Program Effectiveness Meeting,REPORT/ADMINISTRATIVE
document,cmtqilvgy008zphijht5r7k9n,114學年度國小英語村課表,2025 Academic Year Elementary English Village Schedule,REGULATION/ADMINISTRATIVE
document,cmtqiludr008jphij5nfgkxjm,SEM120252026_J.Bernardo1140930,"Semester 1, 2025-2026 Teaching Plan — J. Bernardo (2025/09/30)",REGULATION/ADMINISTRATIVE
document,cmtqiltox0089phij8o7ngyuu,1141DavidCurriculumWeek1-19revised0930,2025 Semester 1 David — Curriculum Weeks 1-19 (Revised 2025/09/30),REGULATION/ADMINISTRATIVE
document,cmtqiltyz008dphijr3vpq6p2,1141NicCurriculumWeek1-18,2025 Semester 1 Nic — Curriculum Weeks 1-18,REGULATION/ADMINISTRATIVE
document,cmtqilu3y008fphijdfk4jycl,DavidBrinkTravelingTeachingLessonPlan5Senses2025-2026,David Brink — Traveling Teaching Lesson Plan: Five Senses (2025-2026),REGULATION/ADMINISTRATIVE
document,cmtqiltu1008bphijyp18gjkq,1141JustinCurriculumWeek1-20,2025 Semester 1 Justin — Curriculum Weeks 1-20,REGULATION/ADMINISTRATIVE
document,cmtqilu8v008hphij433irhc4,NicLessonplan2025_2026,Nic — Lesson Plan 2025-2026,REGULATION/ADMINISTRATIVE
document,cmtqilvc4008xphij1zu2x4gx,113學年度全英授課教案得獎名單及教案,2024 Academic Year All-English Instruction Award-Winning Lesson Plans and Winners List,OTHER/ADMINISTRATIVE
document,cmtqilv76008vphijwohh8did,113學年度全英授課教案得獎名單及教案,2024 Academic Year All-English Instruction Award-Winning Lesson Plans and Winners List,OTHER/ADMINISTRATIVE
document,cmtqilv2b008tphij0r9cewvj,113學年度全英授課教案得獎名單及教案,2024 Academic Year All-English Instruction Award-Winning Lesson Plans and Winners List,OTHER/ADMINISTRATIVE
document,cmtqiluxd008rphijgidnbcch,113學年度全英授課教案得獎名單及教案,2024 Academic Year All-English Instruction Award-Winning Lesson Plans and Winners List,OTHER/ADMINISTRATIVE
document,cmtqilune008nphijx7gtymqs,113學年度全英授課教案得獎名單及教案,2024 Academic Year All-English Instruction Award-Winning Lesson Plans and Winners List,OTHER/ADMINISTRATIVE
document,cmtqilusf008pphijph04ypx3,113學年度全英授課教案得獎名單及教案,2024 Academic Year All-English Instruction Award-Winning Lesson Plans and Winners List,OTHER/ADMINISTRATIVE
document,cmtqiluig008lphijhfxdygsn,114東信英語村課程課前須知,2025 Dongxin English Village Course — Pre-Class Guidelines,REGULATION/ADMINISTRATIVE
document,cmtqilsg7007rphijwbnqrxq2,114學年度外籍教師聘僱契約書範本,2025 Academic Year Foreign Teacher Employment Contract Template,REGULATION/ADMINISTRATIVE
document,cmtqiltjx0087phij3wy16m06,114學年度外籍教師聘僱契約書範本,2025 Academic Year Foreign Teacher Employment Contract Template,REGULATION/ADMINISTRATIVE
document,cmtqiltex0085phijfzka5gt4,114學年度外籍教師聘僱契約書範本,2025 Academic Year Foreign Teacher Employment Contract Template,REGULATION/ADMINISTRATIVE
document,cmtqilta40083phijtj6vmhox,114學年度外籍教師聘僱契約書範本,2025 Academic Year Foreign Teacher Employment Contract Template,REGULATION/ADMINISTRATIVE
document,cmtqilt570081phijcp2ypv4m,114學年度外籍教師聘僱契約書範本,2025 Academic Year Foreign Teacher Employment Contract Template,REGULATION/ADMINISTRATIVE
document,cmtqilt08007zphij9u9ja2ot,114學年度外籍教師聘僱契約書範本,2025 Academic Year Foreign Teacher Employment Contract Template,REGULATION/ADMINISTRATIVE
document,cmtqilsva007xphijuwwnwkk5,114學年度外籍教師聘僱契約書範本,2025 Academic Year Foreign Teacher Employment Contract Template,REGULATION/ADMINISTRATIVE
document,cmtqilsq9007vphijg6rhtd92,114學年度外籍教師聘僱契約書範本,2025 Academic Year Foreign Teacher Employment Contract Template,REGULATION/ADMINISTRATIVE
document,cmtqilsla007tphijvthluit6,114學年度外籍教師聘僱契約書範本,2025 Academic Year Foreign Teacher Employment Contract Template,REGULATION/ADMINISTRATIVE
document,cmtqilsb5007pphij4o7l64vv,114學年度外籍教師聘僱契約書範本,2025 Academic Year Foreign Teacher Employment Contract Template,REGULATION/ADMINISTRATIVE
document,cmtqilbb1000vphijraj786z7,2_生活英語桌遊卡手冊-國小高年級,Life English Board Game Card Manual 2 — Elementary Upper Grades,REGULATION/ADMINISTRATIVE
document,cmtqilb5z000tphijbjo1zi6o,1_生活英語桌遊卡手冊-國小中年級,Life English Board Game Card Manual 1 — Elementary Middle Grades,REGULATION/ADMINISTRATIVE
document,cmtqilrwa007jphijjvaen13d,全英語教案比賽,All-English Lesson Plan Competition,REGULATION/ADMINISTRATIVE
document,cmtqils66007nphij696jnywk,全英語教案比賽,All-English Lesson Plan Competition,REGULATION/ADMINISTRATIVE
document,cmtqilrre007hphijiffz4yti,全英語教案比賽,All-English Lesson Plan Competition,REGULATION/ADMINISTRATIVE
document,cmtqils1a007lphijtb5v0dh8,全英語教案比賽,All-English Lesson Plan Competition,REGULATION/ADMINISTRATIVE
document,cmtqiag2l0003o16ydyib0bvl,基隆市113學年度下學期外籍教師教學訪視計畫0428,Keelung City 2024 Academic Year Semester 2 Foreign Teacher Instructional Visit Plan (2025/04/28),REGULATION/ADMINISTRATIVE
document,cmtqilnjp005rphijf3885yy7,113學年第二學期ELTA入校訪視期程表_基隆市0318修正,2024 Academic Year Semester 2 ELTA School Visit Schedule — Keelung City (Revised 2025/03/18),REGULATION/ADMINISTRATIVE
document,cmtqilbl1000zphijrz822xth,1132DavidWeek2_9,2024 Semester 2 David — Weeks 2-9,REGULATION/ADMINISTRATIVE
document,cmtqilbpy0011phij0kbgcalc,1132JustinWeek2_8,2024 Semester 2 Justin — Weeks 2-8,REGULATION/ADMINISTRATIVE
document,cmtqilbup0013phijajpg6iw3,1132RykWeek2_9,2024 Semester 2 Ryk — Weeks 2-9,REGULATION/ADMINISTRATIVE
document,cmtqilfqg002nphijywc5ot4l,113學年度國小英語村課表0211更新,2024 Academic Year Elementary English Village Schedule (Updated 2025/02/11),REGULATION/ADMINISTRATIVE
document,cmtqilbze0015phij70stqive,SEM2-TEACHINGPLAN-JHSENGLISHROAMINGTEACHERSY2024-2025,"Semester 2 Teaching Plan — JHS English Roaming Teacher, SY 2024-2025",REGULATION/ADMINISTRATIVE
document,cmtqiljl80047phijh6ulva40,TheSecretofHappiness358words,The Secret of Happiness (358 Words) — Reading Material,REGULATION/ADMINISTRATIVE
document,cmtqiljq90049phijsq5mzoj0,ThinkBeforeYouSpeak370words,Think Before You Speak (370 Words) — Reading Material,REGULATION/ADMINISTRATIVE
document,cmtqiljg80045phij5dpz5uvq,Magicmirror374words,Magic Mirror (374 Words) — Reading Material,REGULATION/ADMINISTRATIVE
document,cmtqilj630041phijob97rfow,2025一獅盃國中小英語比賽報名表,2025 Lions Cup Elementary and Junior High English Competition Registration Form,REGULATION/ADMINISTRATIVE
document,cmtqiljb50043phija5ef2g7p,2025一獅盃國中小英語比賽辦法發文版,2025 Lions Cup Elementary and Junior High English Competition Rules (Official Version),REGULATION/ADMINISTRATIVE
document,cmtqildll001tphijg6cep7cv,113學年度上Justin外師巡迴G7課表公布用參考,2024 Academic Year Semester 1 Justin — Grade 7 Roaming Schedule (Reference),REGULATION/ADMINISTRATIVE
document,cmtqildqo001vphijvh8pwees,113學年度上Ryk外師巡迴G6課表公布用參考,2024 Academic Year Semester 1 Ryk — Grade 6 Roaming Schedule (Reference),REGULATION/ADMINISTRATIVE
document,cmtqilr2r0077phijm0cd5uab,03NaturesSecrets,03 Nature's Secrets — Reading Material,REGULATION/ADMINISTRATIVE
document,cmtqilqy10075phiji7h35s64,02ABraveNewDay,02 A Brave New Day — Reading Material,REGULATION/ADMINISTRATIVE
document,cmtqilqte0073phijwhm98r9n,01BeautyWithaThorn,01 Beauty With a Thorn — Reading Material,REGULATION/ADMINISTRATIVE
document,cmtqilrcg007bphijf5q5asjj,113學年度國中英語學藝競賽計畫-看圖寫作,2024 Academic Year Junior High English Contest Plan — Picture Writing,REGULATION/ADMINISTRATIVE
document,cmtqilr7l0079phijd22po69c,113學年度國中英語學藝競賽計畫-即席演講,2024 Academic Year Junior High English Contest Plan — Impromptu Speech,REGULATION/ADMINISTRATIVE
document,cmtqilrhi007dphijkm4ln5rg,113學年度說圖比賽公告,2024 Academic Year Picture Description Competition Announcement,REGULATION/ADMINISTRATIVE
document,cmtqilrmh007fphijnog3zat6,國小組英語競賽計畫,Elementary Division English Competition Plan,REGULATION/ADMINISTRATIVE
document,cmtqillgd004xphijm9i5m67z,基隆市英語教育資源中心工作一覽圖113.07.26,Keelung City EERC Work Overview Chart (2024/07/26),REGULATION/ADMINISTRATIVE
document,cmtqilfvn002pphijx6ba7r20,113東信英語村課程課前須知,2024 Dongxin English Village Course — Pre-Class Guidelines,REGULATION/ADMINISTRATIVE
document,cmtqilfbf002hphijftblmn1u,113-1中山-英語村對外開放實施計畫for英語資源中心0902修正,2024 Semester 1 Zhongshan English Village — Public Access Implementation Plan for EERC (Revised 2024/09/02),REGULATION/ADMINISTRATIVE
document,cmtqilflh002lphijscmqq63p,113學年度國中英語村課表,2024 Academic Year Junior High English Village Schedule,REGULATION/ADMINISTRATIVE
document,cmtqilgah002vphijci7kz52p,長興113英語村預習單,Changxing Elementary 2024 English Village Pre-Class Worksheet,REGULATION/ADMINISTRATIVE
document,cmtqilg5m002tphijddrxc0rx,長興113EnglishVillagetimetable,Changxing Elementary 2024 English Village Timetable,REGULATION/ADMINISTRATIVE
document,cmtqilfgf002jphijnrwcz7ea,1130731-東信國小-英語村護照-內頁黑白雙面,"2024/07/31 Dongxin Elementary English Village Passport — Interior Pages (Black & White, Double-Sided)",REGULATION/ADMINISTRATIVE
document,cmtqild1m001lphij0xsqgp7d,基隆市113學年度英語教學資源中心運作計畫1130713版公告版,Keelung City 2024 Academic Year EERC Operating Plan (2024/07/13 Official Version),REGULATION/ADMINISTRATIVE
document,cmtqilll9004zphijgot001w3,12東光國小-許淑華-國中小英語文核心素養導向全英語優良教案徵選,No.12 Dongguang Elementary — Hsu Shu-Hua — Award for Excellence in All-English Lesson Plans (Literacy-Based),REGULATION/ADMINISTRATIVE
document,cmtqilq0g006rphijk09bximm,信義國小Summercamp2024plan,Xinyi Elementary — Summer Camp 2024 Plan,REGULATION/ADMINISTRATIVE
document,cmtqilqf3006xphijset1cgmg,附件二113年度夏令營計畫_暖暖國小_0527,Attachment 2: 2024 Summer Camp Plan — Nuannuan Elementary (2024/05/27),REGULATION/ADMINISTRATIVE
document,cmtqiloi60065phijp5c1zpp6,113年度英語暑期夏令營計畫-南榮國中0527修正,2024 English Summer Camp Plan — Nanrong Junior High (Revised 2024/05/27),REGULATION/ADMINISTRATIVE
document,cmtqilpvl006pphij4eobjbg2,2024英語夏令營計畫-銘傳國中,2024 English Summer Camp Plan — Mingchuan Junior High,REGULATION/ADMINISTRATIVE
document,cmtqilpc1006hphij4ritbf95,113年度英語暑期夏令營計畫_深澳國小_0422,2024 English Summer Camp Plan — Shen'ao Elementary (2024/04/22),REGULATION/ADMINISTRATIVE
document,cmtqilny9005xphijlvx5wb4q,112年度英語暑期夏令營計畫_建德國中,2023 English Summer Camp Plan — Jiande Junior High,REGULATION/ADMINISTRATIVE
document,cmtqilo850061phijjq628nk6,113年度夏令營計畫-建德國小,2024 Summer Camp Plan — Jiande Elementary,REGULATION/ADMINISTRATIVE
document,cmtqilpgx006jphij5fpch8fq,113年度英語暑期夏令營計畫_長興國小,2024 English Summer Camp Plan — Changxing Elementary,REGULATION/ADMINISTRATIVE
document,cmtqilp72006fphij006raegs,113年度英語暑期夏令營計畫_東信國小.docx.docx,2024 English Summer Camp Plan — Dongxin Elementary,REGULATION/ADMINISTRATIVE
document,cmtqilp26006dphijbs380v83,113年度英語暑期夏令營計畫_尚仁國小0415,2024 English Summer Camp Plan — Shangren Elementary (2024/04/15),REGULATION/ADMINISTRATIVE
document,cmtqilon80067phijueywm8x1,113年度英語暑期夏令營計畫-百福國中,2024 English Summer Camp Plan — Baifu Junior High,REGULATION/ADMINISTRATIVE
document,cmtqilntf005vphij7mm1ym2d,112年度英語夏令營計畫-成功國中,2023 English Summer Camp Plan — Chenggong Junior High,REGULATION/ADMINISTRATIVE
document,cmtqilqop0071phijqkearncs,附件二113年度英語暑期夏令營計畫_成功國小new,Attachment 2: 2024 English Summer Camp Plan — Chenggong Elementary (New),REGULATION/ADMINISTRATIVE
document,cmtqilox6006bphij7rqz5i8c,113年度英語暑期夏令營計畫_安樂國小,2024 English Summer Camp Plan — Anle Elementary,REGULATION/ADMINISTRATIVE
document,cmtqilqaa006vphijwjame5p3,正濱中113年度英語暑期夏令營計畫,2024 English Summer Camp Plan — Zhengbin Junior High,REGULATION/ADMINISTRATIVE
document,cmtqilq5i006tphij2liorccg,基隆市正濱國民小學112學年度英語暑期夏令營實施計畫,Keelung City Zhengbin Elementary — 2023 Academic Year English Summer Camp Implementation Plan,REGULATION/ADMINISTRATIVE
document,cmtqilplt006lphijyytw01b8,113英語暑期夏令營計畫-中興,2024 English Summer Camp Plan — Zhongxing Elementary,REGULATION/ADMINISTRATIVE
document,cmtqilos90069phijnf9z7wvy,113年度英語暑期夏令營計畫_中華國小,2024 English Summer Camp Plan — Zhonghua Elementary,REGULATION/ADMINISTRATIVE
document,cmtqilod50063phijuosk3jm5,113年度夏令營計畫中正國中,2024 Summer Camp Plan — Zhongzheng Junior High,REGULATION/ADMINISTRATIVE
document,cmtqilpqv006nphijii6oybwv,2024英語夏令營計畫-中山高中,2024 English Summer Camp Plan — Zhongshan Senior High,REGULATION/ADMINISTRATIVE
document,cmtqilo38005zphijttahp4l3,1130416-掃描英語夏令營,2024/04/16 English Summer Camp (Scanned Document),REGULATION/ADMINISTRATIVE
document,cmtqilqju006zphijclsu4v43,附件二113年度英語暑期夏令營計畫_七堵國小new,Attachment 2: 2024 English Summer Camp Plan — Qidu Elementary (New),REGULATION/ADMINISTRATIVE
document,cmtqilgp40031phijsfjme5kc,課室英語桌遊卡遊戲手冊20240318版1,Classroom English Board Game Card Manual (2024/03/18 Version 1),REGULATION/ADMINISTRATIVE
document,cmtqilkrl004nphijwwj0pama,112外師David巡迴G5教案,2023 Foreign Teacher David — Grade 5 Roaming Lesson Plan,REGULATION/ADMINISTRATIVE
document,cmtqilkmj004lphijw3bpcrtt,112下國小英語村課表0216修改,2023 Academic Year Semester 2 Elementary English Village Schedule (Revised 2024/02/16),REGULATION/ADMINISTRATIVE
document,cmtqilf6h002fphij91sjb9om,112東信英語村課程課前須知,2023 Dongxin English Village Course — Pre-Class Guidelines,REGULATION/ADMINISTRATIVE
document,cmtqilkhj004jphijbxc2vtsu,11,Document No. 11 (title pending manual review),REGULATION/ADMINISTRATIVE
document,cmtqilnok005tphijndzqo0nw,ELTA工作內容及行政管理,ELTA Job Duties and Administrative Management,REGULATION/ADMINISTRATIVE
document,cmtqilg0l002rphijj7obil15,長興112英語村預習單,Changxing Elementary 2023 English Village Pre-Class Worksheet,REGULATION/ADMINISTRATIVE
document,cmtqilkwn004pphij9b7a5w1s,112外師Ryk巡迴G6教案,2023 Foreign Teacher Ryk — Grade 6 Roaming Lesson Plan,REGULATION/ADMINISTRATIVE
document,cmtqileag0023phijuqsldxt7,112-1中山-英語村營運計畫,2023 Semester 1 Zhongshan English Village — Operation Plan,REGULATION/ADMINISTRATIVE
document,cmtqilf1o002dphijxpn3z91x,112學年度國小英語村課表0828修改,2023 Academic Year Elementary English Village Schedule (Revised 2023/08/28),REGULATION/ADMINISTRATIVE
document,cmtqilewn002bphijpf5241hv,1120825-東信國小-英語村護照-內頁黑白雙面_230825_161312,"2023/08/25 Dongxin Elementary English Village Passport — Interior Pages (Black & White, Double-Sided)",REGULATION/ADMINISTRATIVE
